,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
300,01/13/2022 13,55.26,138.36,10717.0
301,01/13/2022 14,64.9,138.36,10697.0
302,01/13/2022 15,65.51,138.37,10731.0
303,01/13/2022 16,71.65,138.38,10859.0
304,01/13/2022 17,179.85,138.53,10996.0
305,01/13/2022 18,208.97,138.73,11148.0
306,01/13/2022 19,73.62,138.75,10904.0
307,01/13/2022 20,78.12,138.76,10754.0
308,01/13/2022 21,73.57,138.78,10600.0
309,01/13/2022 22,71.76,138.75,10402.0
310,01/13/2022 23,63.71,138.72,10055.0
311,01/13/2022 24,60.05,138.67,9826.0
312,01/14/2022 01,60.68,138.63,9738.0
313,01/14/2022 02,60.68,138.62,9672.0
314,01/14/2022 03,60.24,138.62,9592.0
315,01/14/2022 04,58.56,138.61,9611.0
316,01/14/2022 05,61.32,138.61,9653.0
317,01/14/2022 06,68.25,138.61,9825.0
318,01/14/2022 07,72.38,138.61,10171.0
319,01/14/2022 08,194.43,138.78,10584.0
320,01/14/2022 09,459.52,139.33,10698.0
321,01/14/2022 10,215.99,139.53,10677.0
322,01/14/2022 11,71.72,139.54,10748.0
323,01/14/2022 12,72.5,139.55,10816.0
324,01/14/2022 13,67.75,139.55,10740.0
325,01/14/2022 14,63.48,139.55,10777.0
326,01/14/2022 15,58.71,139.53,10756.0
327,01/14/2022 16,57.6,139.49,10793.0
328,01/14/2022 17,43.55,138.89,10943.0
329,01/14/2022 18,55.1,138.4,11145.0
330,01/14/2022 19,42.55,138.12,11053.0
331,01/14/2022 20,54.08,138.06,10858.0
332,01/14/2022 21,50.86,137.98,10686.0
333,01/14/2022 22,51.86,137.96,10489.0
334,01/14/2022 23,40.18,137.93,10238.0
335,01/14/2022 24,40.26,137.88,9960.0
336,01/15/2022 01,45.79,137.85,9737.0
337,01/15/2022 02,38.12,137.82,9557.0
338,01/15/2022 03,39.67,137.81,9436.0
339,01/15/2022 04,38.41,137.79,9380.0
340,01/15/2022 05,35.65,137.78,9409.0
341,01/15/2022 06,38.99,137.76,9467.0
342,01/15/2022 07,39.47,137.74,9591.0
343,01/15/2022 08,47.93,137.72,9815.0
344,01/15/2022 09,58.61,137.71,10094.0
345,01/15/2022 10,60.11,137.71,10178.0
346,01/15/2022 11,58.53,137.69,10271.0
347,01/15/2022 12,59.91,137.69,10291.0
348,01/15/2022 13,58.04,137.68,10301.0
349,01/15/2022 14,53.05,137.66,10279.0
350,01/15/2022 15,44.63,137.64,10258.0
351,01/15/2022 16,43.9,137.62,10300.0
352,01/15/2022 17,59.3,137.61,10375.0
353,01/15/2022 18,68.54,137.6,10646.0
354,01/15/2022 19,62.89,137.6,10581.0
355,01/15/2022 20,54.66,137.6,10519.0
356,01/15/2022 21,52.84,137.6,10432.0
357,01/15/2022 22,53.84,137.6,10267.0
358,01/15/2022 23,52.32,137.6,10076.0
359,01/15/2022 24,53.43,137.6,9805.0
360,01/16/2022 01,51.04,137.59,9578.0
361,01/16/2022 02,48.32,137.58,9469.0
362,01/16/2022 03,47.14,137.56,9472.0
363,01/16/2022 04,46.47,137.53,9475.0
364,01/16/2022 05,51.78,137.5,9473.0
365,01/16/2022 06,48.37,137.46,9472.0
366,01/16/2022 07,56.88,137.42,9582.0
367,01/16/2022 08,52.22,137.24,9820.0
368,01/16/2022 09,54.06,136.56,9998.0
369,01/16/2022 10,59.42,135.94,10140.0
370,01/16/2022 11,63.7,135.67,10302.0
371,01/16/2022 12,54.61,135.46,10377.0
372,01/16/2022 13,48.41,135.34,10412.0
373,01/16/2022 14,42.93,135.29,10408.0
374,01/16/2022 15,33.6,135.25,10429.0
375,01/16/2022 16,38.1,135.23,10514.0
376,01/16/2022 17,53.33,135.23,10690.0
377,01/16/2022 18,60.76,135.23,11039.0
378,01/16/2022 19,57.11,135.22,10918.0
379,01/16/2022 20,45.27,135.19,10766.0
380,01/16/2022 21,42.91,135.16,10617.0
381,01/16/2022 22,57.53,135.15,10394.0
382,01/16/2022 23,43.42,135.13,10122.0
383,01/16/2022 24,38.6,135.09,9864.0
384,01/17/2022 01,32.37,135.07,9650.0
385,01/17/2022 02,30.13,135.04,9554.0
386,01/17/2022 03,32.82,135.03,9513.0
387,01/17/2022 04,34.76,135.03,9540.0
388,01/17/2022 05,34.46,135.02,9588.0
389,01/17/2022 06,42.76,135.03,9730.0
390,01/17/2022 07,54.99,135.05,10154.0
391,01/17/2022 08,61.07,135.08,10604.0
392,01/17/2022 09,62.11,135.1,10820.0
393,01/17/2022 10,60.61,135.1,10825.0
394,01/17/2022 11,57.72,135.1,10876.0
395,01/17/2022 12,50.16,135.09,10890.0
396,01/17/2022 13,49.68,135.08,10863.0
397,01/17/2022 14,46.34,135.07,10873.0
398,01/17/2022 15,46.05,135.06,10864.0
399,01/17/2022 16,54.14,135.06,10996.0
400,01/17/2022 17,64.27,135.05,11220.0
401,01/17/2022 18,68.09,135.06,11460.0
402,01/17/2022 19,61.98,135.06,11349.0
403,01/17/2022 20,54.38,135.06,11157.0
404,01/17/2022 21,45.88,135.05,11076.0
405,01/17/2022 22,54.4,135.07,10942.0
406,01/17/2022 23,52.67,135.09,10642.0
407,01/17/2022 24,44.7,135.1,10374.0
408,01/18/2022 01,44.05,135.11,10216.0
409,01/18/2022 02,44.94,135.12,10083.0
410,01/18/2022 03,44.73,135.13,9995.0
411,01/18/2022 04,42.64,135.15,9959.0
412,01/18/2022 05,48.51,135.16,10020.0
413,01/18/2022 06,53.26,135.18,10185.0
414,01/18/2022 07,74.34,135.22,10576.0
415,01/18/2022 08,90.0,135.29,11035.0
416,01/18/2022 09,198.59,135.49,11226.0
417,01/18/2022 10,112.19,135.57,11248.0
418,01/18/2022 11,72.35,135.58,11295.0
419,01/18/2022 12,71.62,135.6,11286.0
420,01/18/2022 13,93.21,135.65,11253.0
421,01/18/2022 14,70.75,135.66,11178.0
422,01/18/2022 15,71.05,135.67,11151.0
423,01/18/2022 16,89.14,135.68,11214.0
424,01/18/2022 17,150.91,135.39,11348.0
425,01/18/2022 18,499.66,135.81,11564.0
426,01/18/2022 19,308.05,136.06,11416.0
427,01/18/2022 20,95.5,136.02,11388.0
428,01/18/2022 21,90.0,136.0,11305.0
429,01/18/2022 22,82.71,136.0,11111.0
430,01/18/2022 23,84.82,136.02,10812.0
431,01/18/2022 24,80.1,136.04,10598.0
432,01/19/2022 01,81.1,136.06,10441.0
433,01/19/2022 02,75.13,136.07,10383.0
434,01/19/2022 03,74.03,136.08,10362.0
435,01/19/2022 04,68.69,136.08,10349.0
436,01/19/2022 05,70.66,136.08,10381.0
437,01/19/2022 06,72.71,136.08,10522.0
438,01/19/2022 07,83.84,136.05,10879.0
439,01/19/2022 08,79.16,136.06,11332.0
440,01/19/2022 09,77.32,136.03,11477.0
441,01/19/2022 10,64.27,135.99,11453.0
442,01/19/2022 11,60.1,135.99,11439.0
443,01/19/2022 12,59.24,135.99,11423.0
444,01/19/2022 13,66.49,135.97,11338.0
445,01/19/2022 14,61.81,135.94,11259.0
446,01/19/2022 15,58.16,135.91,11189.0
447,01/19/2022 16,57.35,135.82,11223.0
