Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/13/2020 18,998.52,58.64,11693
01/13/2020 19,999.99,59.97,11609
01/13/2020 20,999.99,61.31,11447
01/13/2020 21,999.99,62.65,11296
01/13/2020 22,992.64,63.98,11077
01/13/2020 23,689.32,64.9,10729
01/13/2020 24,177.12,65.1,10431
01/14/2020 01,79.13,65.17,10328
01/14/2020 02,45.08,65.2,10279
01/14/2020 03,45.03,65.22,10238
01/14/2020 04,56.04,65.25,10273
01/14/2020 05,65.88,65.3,10315
01/14/2020 06,69.78,65.35,10501
01/14/2020 07,617.74,66.16,10816
01/14/2020 08,978.21,67.47,11182
01/14/2020 09,978.21,68.79,11334
01/14/2020 10,994.48,70.11,11363
01/14/2020 11,999.94,71.45,11373
01/14/2020 12,997.02,72.78,11393
01/14/2020 13,973.67,74.06,11358
01/14/2020 14,965.32,75.35,11290
01/14/2020 15,787.25,76.39,11267
01/14/2020 16,775.75,77.42,11290
01/14/2020 17,820.8,78.51,11435
01/14/2020 18,919.63,79.73,11698
01/14/2020 19,825.96,80.83,11602
01/14/2020 20,368.7,81.29,11458
01/14/2020 21,93.44,81.37,11393
01/14/2020 22,134.31,81.51,11155
01/14/2020 23,77.07,81.57,10892
01/14/2020 24,63.79,81.62,10658
01/15/2020 01,58.06,81.66,10478
01/15/2020 02,68.12,81.71,10390
01/15/2020 03,80.6,81.79,10355
01/15/2020 04,119.33,81.91,10318
01/15/2020 05,547.48,82.64,10298
01/15/2020 06,575.02,83.39,10402
01/15/2020 07,610.76,84.2,10749
01/15/2020 08,995.52,85.55,11068
01/15/2020 09,999.6,86.89,11234
01/15/2020 10,999.58,88.24,11226
01/15/2020 11,998.95,89.58,11209
01/15/2020 12,891.45,90.77,11155
01/15/2020 13,850.22,91.91,11112
01/15/2020 14,852.55,93.05,11112
01/15/2020 15,980.42,94.37,11052
01/15/2020 16,980.42,95.68,11084
01/15/2020 17,926.57,96.92,11254
01/15/2020 18,993.47,98.25,11562
01/15/2020 19,926.37,99.48,11474
01/15/2020 20,901.28,100.68,11354
01/15/2020 21,710.5,101.62,11210
01/15/2020 22,640.69,102.47,11032
01/15/2020 23,252.02,102.78,10708
01/15/2020 24,234.28,103.06,10557
01/16/2020 01,73.38,103.12,10435
01/16/2020 02,88.13,103.21,10327
01/16/2020 03,88.13,103.29,10280
01/16/2020 04,83.83,103.37,10239
01/16/2020 05,89.33,103.45,10253
01/16/2020 06,289.72,103.81,10328
01/16/2020 07,524.3,104.5,10641
01/16/2020 08,751.62,105.5,10998
01/16/2020 09,999.65,106.84,11181
01/16/2020 10,999.99,108.18,11238
01/16/2020 11,999.99,109.52,11276
01/16/2020 12,963.78,110.81,11266
01/16/2020 13,976,112.11,11230
01/16/2020 14,865.4,113.26,11188
01/16/2020 15,896.7,114.45,11168
01/16/2020 16,994.3,115.79,11200
01/16/2020 17,994.53,117.12,11287
01/16/2020 18,999.53,118.44,11522
01/16/2020 19,995.46,119.77,11412
01/16/2020 20,994.3,121.1,11275
01/16/2020 21,743.73,122.08,11096
01/16/2020 22,80.65,122.14,10951
01/16/2020 23,73.78,122.2,10676
01/16/2020 24,67.28,122.26,10413
01/17/2020 01,38,122.27,10261
01/17/2020 02,31.94,122.28,10178
01/17/2020 03,29.6,122.28,10133
