Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
04/04/2021 16,34.5,61.27,9305
04/04/2021 17,41.26,61.29,9368
04/04/2021 18,43.62,61.31,9359
04/04/2021 19,44.67,61.33,9243
04/04/2021 20,49.27,61.34,9174
04/04/2021 21,81.1,61.41,9340
04/04/2021 22,81.73,61.48,9313
04/04/2021 23,767.22,62.5,8841
04/04/2021 24,629.91,63.33,8571
04/05/2021 01,80.83,63.39,8558
04/05/2021 02,59.91,63.41,8542
04/05/2021 03,47.61,63.43,8542
04/05/2021 04,103.81,63.52,8545
04/05/2021 05,83.75,63.59,8614
04/05/2021 06,113.34,63.71,8724
04/05/2021 07,613.34,64.52,8878
04/05/2021 08,590.83,65.29,8995
04/05/2021 09,546.89,65.99,9128
04/05/2021 10,575.54,66.74,9206
04/05/2021 11,580.27,67.49,9246
04/05/2021 12,104.16,67.58,9403
04/05/2021 13,104.16,67.67,9460
04/05/2021 14,51.74,67.69,9455
04/05/2021 15,50.32,67.72,9426
04/05/2021 16,47.68,67.75,9429
04/05/2021 17,40.52,67.77,9451
04/05/2021 18,36.16,67.77,9437
04/05/2021 19,39.57,67.78,9304
04/05/2021 20,36.41,67.76,9235
04/05/2021 21,35.52,67.74,9424
04/05/2021 22,36.21,67.72,9358
04/05/2021 23,36.24,67.71,9146
04/05/2021 24,39.77,67.71,8958
04/06/2021 01,42.49,67.72,8798
04/06/2021 02,39.7,67.74,8700
04/06/2021 03,40,67.76,8634
04/06/2021 04,39.31,67.77,8627
04/06/2021 05,40,67.78,8648
04/06/2021 06,41.69,67.78,8801
04/06/2021 07,53.26,67.81,9051
04/06/2021 08,41.94,67.81,9321
04/06/2021 09,48.6,67.84,9485
04/06/2021 10,451.87,68.41,9400
04/06/2021 11,546.86,69.12,9349
04/06/2021 12,582.79,69.89,9378
04/06/2021 13,531.19,70.59,9326
04/06/2021 14,197.08,70.82,9292
04/06/2021 15,232,71.11,9322
04/06/2021 16,192.79,71.34,9226
04/06/2021 17,38.64,71.35,9374
04/06/2021 18,44.19,71.38,9402
04/06/2021 19,33.35,71.37,9303
04/06/2021 20,35.34,71.37,9241
04/06/2021 21,41.34,71.36,9389
04/06/2021 22,42.46,71.36,9326
04/06/2021 23,39.06,71.37,9067
04/06/2021 24,35.18,71.38,8786
04/07/2021 01,31.15,71.38,8595
04/07/2021 02,31.22,71.4,8511
04/07/2021 03,36.11,71.42,8450
04/07/2021 04,39.18,71.44,8412
04/07/2021 05,38.6,71.46,8452
04/07/2021 06,40.42,71.47,8626
04/07/2021 07,48.39,71.48,8985
04/07/2021 08,67.41,71.52,9310
04/07/2021 09,188.15,71.73,9451
04/07/2021 10,381.19,72.21,9375
04/07/2021 11,304.05,72.58,9382
04/07/2021 12,54.23,72.6,9451
04/07/2021 13,37.79,72.57,9480
04/07/2021 14,45.97,72.54,9465
04/07/2021 15,34.36,72.26,9426
04/07/2021 16,34.35,72.07,9396
04/07/2021 17,45.78,71.47,9433
04/07/2021 18,34.04,70.82,9397
04/07/2021 19,32.83,70.19,9262
04/07/2021 20,35.91,69.59,9212
04/07/2021 21,41.39,69.41,9257
04/07/2021 22,42.14,69.32,9198
04/07/2021 23,39.78,69.29,8943
04/07/2021 24,45.01,69.27,8652
04/08/2021 01,40.56,69.25,8464
04/08/2021 02,40.13,69.25,8413
04/08/2021 03,39.24,69.25,8360
04/08/2021 04,37.42,69.24,8327
04/08/2021 05,37.64,69.24,8397
04/08/2021 06,48.2,69.24,8556
04/08/2021 07,183.96,69.44,8904
04/08/2021 08,89.1,69.48,9269
04/08/2021 09,153.97,69.02,9485
04/08/2021 10,96.42,68.49,9550
04/08/2021 11,132.83,68,9681
04/08/2021 12,101.92,67.47,9722
04/08/2021 13,83.03,66.99,9706
04/08/2021 14,33.6,66.75,9701
04/08/2021 15,33.25,66.71,9667
04/08/2021 16,36.82,66.71,9631
04/08/2021 17,42.7,66.71,9566
04/08/2021 18,78.66,66.77,9581
04/08/2021 19,335.6,67.18,9351
04/08/2021 20,385.96,67.67,9243
04/08/2021 21,714.48,68.62,9311
04/08/2021 22,726.35,69.59,9279
04/08/2021 23,385.21,70.07,9015
04/08/2021 24,115.35,70.18,8869
04/09/2021 01,69.03,70.23,8757
04/09/2021 02,51.72,70.27,8705
04/09/2021 03,36.23,70.28,8668
04/09/2021 04,30.24,70.27,8667
04/09/2021 05,31.57,70.27,8747
04/09/2021 06,36.29,70.26,8887
04/09/2021 07,40.8,70.27,9214
04/09/2021 08,40.65,70.27,9515
04/09/2021 09,41.01,70.27,9602
04/09/2021 10,40.8,70.27,9593
04/09/2021 11,41,70.27,9594
04/09/2021 12,40.59,70.28,9577
04/09/2021 13,41.41,70.29,9570
04/09/2021 14,41.3,70.3,9517
04/09/2021 15,40.27,70.31,9504
04/09/2021 16,39.61,70.29,9477
04/09/2021 17,39.61,70.11,9451
04/09/2021 18,39.61,69.86,9455
04/09/2021 19,38.14,69.4,9318
04/09/2021 20,41.55,68.91,9241
04/09/2021 21,44.75,68.36,9415
04/09/2021 22,43.65,67.87,9413
04/09/2021 23,116.99,67.68,9159
04/09/2021 24,52.06,67.69,8880
04/10/2021 01,42.51,67.69,8709
04/10/2021 02,43,67.7,8587
04/10/2021 03,44.75,67.71,8545
04/10/2021 04,46.97,67.72,8552
04/10/2021 05,49.56,67.73,8559
04/10/2021 06,56.03,67.75,8604
04/10/2021 07,102.83,67.84,8713
04/10/2021 08,40.42,67.76,8817
04/10/2021 09,39.51,67.56,9007
04/10/2021 10,35.68,67.42,9254
04/10/2021 11,39.4,67.34,9418
04/10/2021 12,39.15,67.31,9494
04/10/2021 13,41.43,67.3,9512
04/10/2021 14,59.47,67.32,9450
04/10/2021 15,40.34,67.32,9412
04/10/2021 16,72,67.36,9452
04/10/2021 17,205.88,67.59,9551
04/10/2021 18,187.8,67.8,9593
04/10/2021 19,89.4,67.83,9546
04/10/2021 20,39.73,67.82,9516
04/10/2021 21,43.85,67.82,9491
04/10/2021 22,50.98,67.84,9539
04/10/2021 23,36.71,67.84,9361
04/10/2021 24,41.49,67.84,9182
04/11/2021 01,54.14,67.87,9016
04/11/2021 02,42.12,67.89,8915
04/11/2021 03,41.63,67.91,8838
04/11/2021 04,44.95,67.93,8817
04/11/2021 05,44.13,67.95,8816
04/11/2021 06,44.97,67.96,8838
04/11/2021 07,51.66,67.98,8959
04/11/2021 08,43.29,67.99,9008
04/11/2021 09,43.92,68,9150
04/11/2021 10,84.03,68.06,9298
04/11/2021 11,124.14,68.18,9351
04/11/2021 12,193.36,68.39,9355
04/11/2021 13,139.04,68.54,9307
04/11/2021 14,70.95,68.58,9280
04/11/2021 15,76.84,68.64,9268
04/11/2021 16,105.16,68.73,9307
04/11/2021 17,128.99,68.86,9309
04/11/2021 18,196.56,69.08,9342
04/11/2021 19,148.03,69.24,9279
04/11/2021 20,127.56,69.36,9262
04/11/2021 21,165.3,69.54,9334
04/11/2021 22,196,69.76,9312
04/11/2021 23,89.09,69.83,9128
04/11/2021 24,101.58,69.92,8914
04/12/2021 01,73.14,69.97,8776
04/12/2021 02,65,70.01,8757
04/12/2021 03,81.12,70.07,8683
04/12/2021 04,79.12,70.12,8712
04/12/2021 05,78.05,70.18,8789
04/12/2021 06,105.45,70.27,8882
04/12/2021 07,98.21,70.35,9245
04/12/2021 08,112.75,70.45,9538
04/12/2021 09,381.52,70.93,9604
04/12/2021 10,126.47,71.06,9599
04/12/2021 11,111.98,71.16,9621
04/12/2021 12,105.45,71.26,9637
04/12/2021 13,105.45,71.35,9608
04/12/2021 14,101.58,71.44,9581
04/12/2021 15,70.86,71.48,9564
04/12/2021 16,82.39,71.55,9575
04/12/2021 17,100.95,71.63,9574
04/12/2021 18,82.59,71.69,9550
04/12/2021 19,46.72,71.71,9410
04/12/2021 20,78.58,71.76,9335
04/12/2021 21,91.84,71.83,9417
04/12/2021 22,88.54,71.91,9441
04/12/2021 23,73.19,71.96,9186
04/12/2021 24,69.14,72.01,8945
04/13/2021 01,55.1,72.04,8827
04/13/2021 02,57.54,72.07,8746
04/13/2021 03,50.77,72.09,8689
04/13/2021 04,47.96,72.11,8695
04/13/2021 05,54.38,72.14,8798
04/13/2021 06,72.73,72.19,8965
04/13/2021 07,384.13,72.67,9007
04/13/2021 08,298.07,73.04,9229
04/13/2021 09,331.14,73.45,9345
04/13/2021 10,351.81,73.89,9344
04/13/2021 11,334.11,74.31,9343
04/13/2021 12,176.03,74.5,9320
04/13/2021 13,80.3,74.56,9348
04/13/2021 14,135.99,74.71,9345
04/13/2021 15,91.86,74.8,9371
04/13/2021 16,94.8,74.89,9383
04/13/2021 17,165.48,75.06,9367
04/13/2021 18,108.09,75.15,9363
04/13/2021 19,55.71,75.17,9223
04/13/2021 20,65.41,75.21,9169
04/13/2021 21,74.66,75.25,9282
04/13/2021 22,58.02,75.27,9327
04/13/2021 23,45.68,75.29,9083
04/13/2021 24,46.66,75.3,8828
04/14/2021 01,41.78,75.31,8645
04/14/2021 02,40.46,75.32,8558
04/14/2021 03,40.47,75.33,8496
04/14/2021 04,41.16,75.34,8508
04/14/2021 05,40.88,75.35,8569
04/14/2021 06,40.16,75.36,8701
04/14/2021 07,57.65,75.38,8952
04/14/2021 08,55.47,75.41,9181
04/14/2021 09,86.17,75.47,9341
04/14/2021 10,102.05,75.56,9299
04/14/2021 11,56.98,75.58,9319
04/14/2021 12,54.15,75.61,9296
04/14/2021 13,55.98,75.64,9274
04/14/2021 14,54.25,75.67,9263
04/14/2021 15,54.64,75.7,9221
04/14/2021 16,61.98,75.74,9243
04/14/2021 17,100.24,75.83,9280
04/14/2021 18,151.21,75.98,9168
04/14/2021 19,61.9,76.01,9083
04/14/2021 20,121.46,76.12,8963
04/14/2021 21,67.42,76.14,9040
04/14/2021 22,56.74,76.16,9138
04/14/2021 23,72.68,76.2,8894
04/14/2021 24,175.75,76.39,8518
04/15/2021 01,44.45,76.4,8428
04/15/2021 02,50.68,76.42,8425
04/15/2021 03,51.35,76.43,8391
04/15/2021 04,53.06,76.45,8377
04/15/2021 05,54.22,76.48,8439
04/15/2021 06,48.24,76.49,8616
04/15/2021 07,106.82,76.57,8855
04/15/2021 08,109.7,76.27,9189
04/15/2021 09,128,76.18,9316
04/15/2021 10,147.2,76.22,9329
04/15/2021 11,177.03,76.34,9349
04/15/2021 12,154.05,76.4,9295
04/15/2021 13,121.71,76.26,9263
04/15/2021 14,123.45,76.28,9300
04/15/2021 15,118.42,76.3,9350
04/15/2021 16,123.03,76.37,9338
04/15/2021 17,121.24,76.46,9336
04/15/2021 18,117.02,76.52,9324
04/15/2021 19,105.67,76.6,9223
04/15/2021 20,58.54,76.62,9173
04/15/2021 21,120.04,76.71,9179
04/15/2021 22,123.54,76.8,9218
04/15/2021 23,123.54,76.91,8958
04/15/2021 24,172.14,77.1,8613
04/16/2021 01,60.11,77.13,8514
04/16/2021 02,61.74,77.16,8455
04/16/2021 03,51.09,77.18,8451
04/16/2021 04,58.51,77.21,8489
04/16/2021 05,58.39,77.23,8552
04/16/2021 06,50.66,77.24,8703
04/16/2021 07,205.67,77.44,8770
04/16/2021 08,60.83,77.04,9165
04/16/2021 09,61.8,77,9301
04/16/2021 10,112.72,77.07,9316
04/16/2021 11,92.74,77.12,9328
04/16/2021 12,112.53,77.2,9388
04/16/2021 13,183.04,77.39,9282
04/16/2021 14,211.43,77.63,9322
04/16/2021 15,200,77.85,9298
04/16/2021 16,212.08,78.1,9270
04/16/2021 17,242.81,78.39,9242
04/16/2021 18,171.04,78.58,9118
04/16/2021 19,107.16,78.68,8995
04/16/2021 20,108.82,78.79,8962
04/16/2021 21,159.49,78.96,9051
04/16/2021 22,106.15,79.06,9110
04/16/2021 23,99.54,79.16,8895
04/16/2021 24,96.25,79.24,8643
04/17/2021 01,43.32,79.26,8479
04/17/2021 02,47.83,79.28,8387
04/17/2021 03,45,79.3,8336
04/17/2021 04,49.14,79.33,8315
04/17/2021 05,48.95,79.35,8323
04/17/2021 06,40.61,79.36,8340
04/17/2021 07,39.62,79.37,8403
04/17/2021 08,32.1,79.36,8495
04/17/2021 09,39.48,79.36,8724
04/17/2021 10,44.56,79.35,8908
04/17/2021 11,66.39,79.3,8962
04/17/2021 12,60.03,79.22,9045
04/17/2021 13,53.09,79.22,9060
04/17/2021 14,41.65,79.22,9063
04/17/2021 15,43.08,79.22,9017
04/17/2021 16,41.28,79.23,9020
04/17/2021 17,37.16,79.24,9062
04/17/2021 18,38.39,79.24,9120
04/17/2021 19,40.04,79.25,8996
04/17/2021 20,46.76,79.26,8953
04/17/2021 21,56.95,79.28,9037
04/17/2021 22,49.94,79.29,9102
04/17/2021 23,33.54,79.29,8897
04/17/2021 24,46.84,79.3,8723
04/18/2021 01,48.76,79.31,8570
04/18/2021 02,49.86,79.33,8472
04/18/2021 03,49.76,79.35,8435
04/18/2021 04,49.12,79.38,8430
04/18/2021 05,41.52,79.39,8405
04/18/2021 06,28.11,79.38,8390
04/18/2021 07,24.16,79.37,8472
04/18/2021 08,23.18,79.35,8586
04/18/2021 09,35.74,79.35,8855
04/18/2021 10,42.43,79.36,9062
04/18/2021 11,48.05,79.37,9278
04/18/2021 12,47.71,79.38,9395
04/18/2021 13,45.85,79.39,9443
04/18/2021 14,39.19,79.39,9430
04/18/2021 15,47.2,79.41,9421
04/18/2021 16,46.9,79.42,9435
04/18/2021 17,47.52,79.44,9493
04/18/2021 18,49.4,79.46,9550
04/18/2021 19,48.5,79.48,9439
04/18/2021 20,49.74,79.5,9366
04/18/2021 21,49.95,79.52,9354
04/18/2021 22,55.63,79.56,9389
04/18/2021 23,49.45,79.58,9141
04/18/2021 24,48.12,79.6,8830
04/19/2021 01,46.66,79.62,8685
04/19/2021 02,38.26,79.63,8567
04/19/2021 03,38.82,79.64,8482
04/19/2021 04,38.16,79.65,8451
04/19/2021 05,39.03,79.66,8529
04/19/2021 06,44.67,79.67,8673
04/19/2021 07,49.16,79.69,8995
04/19/2021 08,47.91,79.71,9281
04/19/2021 09,101.44,79.81,9447
04/19/2021 10,328.59,80.21,9405
04/19/2021 11,71.1,80.26,9509
04/19/2021 12,52,80.29,9562
04/19/2021 13,47.51,80.3,9501
04/19/2021 14,46.94,80.33,9542
04/19/2021 15,42.75,80.35,9532
04/19/2021 16,47.34,80.38,9502
04/19/2021 17,47.17,80.4,9527
04/19/2021 18,48.38,80.42,9526
04/19/2021 19,50.27,80.45,9347
04/19/2021 20,331.72,80.87,9179
04/19/2021 21,282.13,81.22,9130
04/19/2021 22,222.22,81.49,9172
04/19/2021 23,72.15,81.55,9046
04/19/2021 24,51.12,81.58,8837
04/20/2021 01,48.98,81.61,8678
04/20/2021 02,52.82,81.65,8608
04/20/2021 03,51.54,81.68,8560
04/20/2021 04,49.55,81.7,8533
04/20/2021 05,50.22,81.72,8601
04/20/2021 06,55.11,81.74,8752
04/20/2021 07,87.7,81.76,8951
04/20/2021 08,105.89,81.56,9216
04/20/2021 09,110.25,81.31,9327
04/20/2021 10,225.49,81.04,9350
04/20/2021 11,224.94,81.18,9324
04/20/2021 12,375.55,81.59,9328
04/20/2021 13,408.88,82.1,9248
04/20/2021 14,199.91,82.33,9155
04/20/2021 15,234.67,82.62,9099
04/20/2021 16,151.37,82.79,9138
04/20/2021 17,185.32,83.01,9195
04/20/2021 18,281.82,83.36,9159
04/20/2021 19,115.83,83.47,9020
04/20/2021 20,47.96,83.5,9023
04/20/2021 21,47.3,83.52,9080
04/20/2021 22,47.6,83.55,9159
04/20/2021 23,42.8,83.57,8966
04/20/2021 24,47.72,83.6,8715
04/21/2021 01,39.7,83.62,8536
04/21/2021 02,37.6,83.63,8451
04/21/2021 03,37.04,83.65,8387
04/21/2021 04,36.96,83.66,8390
04/21/2021 05,36.96,83.67,8416
04/21/2021 06,37.03,83.67,8520
04/21/2021 07,37.56,83.66,8768
04/21/2021 08,38.55,83.66,9063
04/21/2021 09,44.82,83.66,9233
04/21/2021 10,47.81,83.65,9211
04/21/2021 11,47.74,83.67,9165
04/21/2021 12,51.25,83.69,9257
04/21/2021 13,57.68,83.72,9296
04/21/2021 14,94.5,83.8,9329
04/21/2021 15,228.57,84.06,9179
04/21/2021 16,365.39,84.51,9138
04/21/2021 17,56.82,84.54,9277
04/21/2021 18,61.24,84.58,9389
04/21/2021 19,56,84.59,9259
04/21/2021 20,55.12,84.54,9247
04/21/2021 21,52.02,84.43,9273
04/21/2021 22,45.39,84.44,9274
04/21/2021 23,41.31,84.45,9024
04/21/2021 24,42.38,84.47,8727
04/22/2021 01,37.39,84.48,8583
04/22/2021 02,35.74,84.49,8474
04/22/2021 03,36.09,84.49,8419
04/22/2021 04,35.94,84.49,8454
04/22/2021 05,37.46,84.49,8570
04/22/2021 06,38.87,84.5,8713
04/22/2021 07,39.51,84.49,9027
04/22/2021 08,47.36,84.47,9412
04/22/2021 09,62.75,84.33,9606
04/22/2021 10,59.13,84.14,9557
04/22/2021 11,35.18,84.12,9605
04/22/2021 12,53.95,84.1,9633
04/22/2021 13,47.74,84.03,9622
04/22/2021 14,45.18,84.03,9617
04/22/2021 15,47.9,84.03,9547
04/22/2021 16,49.55,84.05,9525
04/22/2021 17,236.71,84.34,9599
04/22/2021 18,184.41,84.56,9569
04/22/2021 19,150.12,84.72,9370
04/22/2021 20,308.12,85.09,9220
04/22/2021 21,93.45,85.18,9314
04/22/2021 22,291.34,85.54,9295
04/22/2021 23,101.33,85.65,9112
04/22/2021 24,263.15,85.98,8804
04/23/2021 01,53.76,86.01,8759
04/23/2021 02,48.1,86.03,8717
04/23/2021 03,47.09,86.05,8673
04/23/2021 04,49.88,86.07,8683
04/23/2021 05,48.45,86.09,8711
04/23/2021 06,57.62,86.12,8808
04/23/2021 07,495.67,86.76,8856
04/23/2021 08,251.98,87.06,9114
04/23/2021 09,433.14,87.61,9240
04/23/2021 10,354.53,88.06,9312
04/23/2021 11,162.1,88.23,9477
04/23/2021 12,398.51,88.73,9416
04/23/2021 13,254.77,89.03,9337
04/23/2021 14,283.01,89.38,9387
04/23/2021 15,96.38,89.46,9374
04/23/2021 16,110,89.57,9399
04/23/2021 17,158.76,89.74,9433
04/23/2021 18,210.52,89.98,9340
04/23/2021 19,213.14,90.22,9266
04/23/2021 20,141.29,90.35,9179
04/23/2021 21,176.87,90.53,9228
04/23/2021 22,203.19,90.74,9198
04/23/2021 23,49.08,90.75,9060
04/23/2021 24,140.62,90.9,8809
04/24/2021 01,47.55,90.91,8710
04/24/2021 02,46.54,90.93,8665
04/24/2021 03,47.64,90.95,8596
04/24/2021 04,47.18,90.97,8588
04/24/2021 05,47.63,90.99,8616
04/24/2021 06,46.57,91.01,8644
04/24/2021 07,46.22,91.02,8675
04/24/2021 08,45.86,91.02,8780
04/24/2021 09,44.17,91.01,8953
04/24/2021 10,47.32,91.01,9129
04/24/2021 11,56.13,91.03,9233
04/24/2021 12,57.88,91.03,9272
04/24/2021 13,54,90.98,9306
04/24/2021 14,53,90.92,9255
04/24/2021 15,49.21,90.71,9176
04/24/2021 16,50.96,90.19,9178
04/24/2021 17,55.37,89.64,9286
04/24/2021 18,186.94,89.15,9316
04/24/2021 19,69.39,88.91,9197
04/24/2021 20,62.16,88.52,9137
04/24/2021 21,61.97,88.11,9131
04/24/2021 22,56.69,87.91,9225
04/24/2021 23,41.53,87.85,9032
04/24/2021 24,44.97,87.85,8825
04/25/2021 01,57,87.87,8673
04/25/2021 02,51.26,87.88,8586
04/25/2021 03,47.85,87.89,8536
04/25/2021 04,49.38,87.89,8526
04/25/2021 05,50,87.9,8541
04/25/2021 06,53.47,87.92,8586
04/25/2021 07,48.38,87.89,8590
04/25/2021 08,40.3,87.29,8635
04/25/2021 09,46.9,86.79,8817
04/25/2021 10,47.08,86.29,8940
04/25/2021 11,47.84,85.73,9054
04/25/2021 12,47.84,85.06,9170
04/25/2021 13,52.83,84.94,9199
04/25/2021 14,54.8,84.87,9155
04/25/2021 15,49.52,84.83,9090
04/25/2021 16,51.91,84.75,9069
04/25/2021 17,65.19,84.78,9120
04/25/2021 18,207.75,85.02,9164
04/25/2021 19,91.62,85.1,9075
04/25/2021 20,58.08,85.13,9087
04/25/2021 21,252.93,85.43,9077
04/25/2021 22,278.05,85.77,9052
04/25/2021 23,58.01,85.8,8921
04/25/2021 24,223.93,86.06,8609
04/26/2021 01,45.56,86.06,8511
04/26/2021 02,47.29,86.07,8483
04/26/2021 03,48.56,86.08,8464
04/26/2021 04,53.15,86.1,8520
04/26/2021 05,67.74,86.13,8602
04/26/2021 06,85.35,86.18,8748
04/26/2021 07,416.64,86.68,8815
04/26/2021 08,62.7,86.71,9194
04/26/2021 09,217.67,86.95,9400
04/26/2021 10,180.61,87.13,9373
04/26/2021 11,52.48,87.15,9518
04/26/2021 12,51.92,87.17,9557
04/26/2021 13,49.16,87.19,9548
04/26/2021 14,41.62,87.2,9532
04/26/2021 15,49.3,87.22,9483
04/26/2021 16,49.71,87.24,9451
04/26/2021 17,45.59,87.25,9497
04/26/2021 18,50.04,87.26,9456
04/26/2021 19,45.54,87.27,9384
04/26/2021 20,53.76,87.3,9294
04/26/2021 21,56.99,87.32,9269
04/26/2021 22,54.8,87.35,9375
04/26/2021 23,46.36,87.36,9139
04/26/2021 24,43.65,87.38,8874
04/27/2021 01,43.58,87.4,8749
04/27/2021 02,41.12,87.41,8667
04/27/2021 03,39.74,87.42,8604
04/27/2021 04,39.16,87.43,8600
04/27/2021 05,39.9,87.44,8650
04/27/2021 06,41.68,87.45,8807
04/27/2021 07,45.32,87.47,9066
04/27/2021 08,44.29,87.48,9455
04/27/2021 09,47.61,87.5,9648
04/27/2021 10,46.53,87.51,9715
04/27/2021 11,46.43,87.53,9730
04/27/2021 12,44.14,87.54,9723
04/27/2021 13,41.67,87.55,9681
04/27/2021 14,40.18,87.57,9641
04/27/2021 15,40.83,87.59,9569
04/27/2021 16,45.33,87.61,9584
04/27/2021 17,46.95,87.63,9614
04/27/2021 18,46.16,87.63,9576
04/27/2021 19,41.48,87.56,9432
04/27/2021 20,37.28,87.01,9342
04/27/2021 21,37.13,86.18,9388
04/27/2021 22,39.8,85.91,9356
04/27/2021 23,39.52,85.92,9159
04/27/2021 24,43.94,85.94,8906
04/28/2021 01,40.58,85.96,8735
04/28/2021 02,41.9,85.97,8663
04/28/2021 03,44.49,85.99,8591
04/28/2021 04,44.46,86.01,8580
04/28/2021 05,46.26,86.02,8640
04/28/2021 06,46.91,86.05,8778
04/28/2021 07,45.55,86.07,8993
04/28/2021 08,106.03,86.16,9217
04/28/2021 09,55.8,86.17,9361
04/28/2021 10,51.36,86.16,9445
04/28/2021 11,63.98,86.05,9479
04/28/2021 12,60.5,86.06,9517
04/28/2021 13,51.65,86.08,9478
04/28/2021 14,48.65,86.1,9464
04/28/2021 15,48.57,86.12,9492
04/28/2021 16,48.46,86.14,9527
04/28/2021 17,48.67,86.17,9471
04/28/2021 18,48.44,86.18,9458
04/28/2021 19,37.82,86.19,9284
04/28/2021 20,37.25,86.2,9194
04/28/2021 21,37.16,86.19,9264
04/28/2021 22,39.91,86.19,9319
04/28/2021 23,39.34,86.19,9051
04/28/2021 24,41.05,86.2,8766
04/29/2021 01,39.57,86.2,8608
04/29/2021 02,39.9,86.21,8487
04/29/2021 03,40.03,86.2,8419
04/29/2021 04,39.1,86.2,8398
04/29/2021 05,38.08,86.2,8460
04/29/2021 06,39.63,86.19,8579
04/29/2021 07,39.87,86.19,8808
04/29/2021 08,54.09,86.21,9199
04/29/2021 09,214.34,86.46,9402
04/29/2021 10,80.83,86.52,9549
04/29/2021 11,85.29,86.58,9647
04/29/2021 12,55.77,86.61,9640
04/29/2021 13,56.33,86.64,9626
04/29/2021 14,47.44,86.65,9597
04/29/2021 15,48.91,86.66,9579
04/29/2021 16,289.57,87.01,9432
04/29/2021 17,292.66,87.37,9412
04/29/2021 18,94.54,87.45,9556
04/29/2021 19,62.26,87.49,9434
04/29/2021 20,159.07,87.66,9295
04/29/2021 21,66.48,87.7,9293
04/29/2021 22,60.86,87.74,9361
04/29/2021 23,38.85,87.75,9092
04/29/2021 24,49.88,87.79,8815
04/30/2021 01,39.89,87.81,8595
04/30/2021 02,33.29,87.82,8458
04/30/2021 03,28.61,87.82,8390
04/30/2021 04,25.51,87.82,8360
04/30/2021 05,25.64,87.82,8415
04/30/2021 06,26.14,87.81,8529
04/30/2021 07,29.5,87.81,8736
04/30/2021 08,33.29,87.81,9119
04/30/2021 09,35.94,87.82,9355
04/30/2021 10,36.98,87.82,9426
04/30/2021 11,41.37,87.83,9488
04/30/2021 12,36.98,87.82,9529
04/30/2021 13,49.17,87.84,9532
04/30/2021 14,50,87.84,9548
04/30/2021 15,48.11,87.86,9493
04/30/2021 16,45.51,87.88,9457
04/30/2021 17,40.1,87.89,9441
04/30/2021 18,39.87,87.89,9412
04/30/2021 19,39.68,87.91,9235
04/30/2021 20,41.08,87.91,9122
04/30/2021 21,39.65,87.92,9033
04/30/2021 22,45.67,87.93,9074
04/30/2021 23,55.13,87.96,8980
04/30/2021 24,53.21,87.99,8738
05/01/2021 01,46.8,88.01,8537
05/01/2021 02,38.26,88.01,8383
05/01/2021 03,40.13,88.02,8318
05/01/2021 04,40.02,88.03,8280
05/01/2021 05,43.92,88.04,8281
05/01/2021 06,45.61,88.05,8324
05/01/2021 07,47.39,88.07,8355
05/01/2021 08,45.55,88.08,8511
05/01/2021 09,56.38,88.11,8687
05/01/2021 10,53.09,88.13,8909
05/01/2021 11,44.6,88.14,9032
05/01/2021 12,47.28,88.16,9090
05/01/2021 13,43.7,88.17,9116
05/01/2021 14,42.54,88.18,9088
05/01/2021 15,43.87,88.18,9102
05/01/2021 16,53.53,88.19,9086
05/01/2021 17,47.26,88.2,9154
05/01/2021 18,50.3,88.21,9229
05/01/2021 19,46.61,88.22,9168
05/01/2021 20,25.23,88.2,9068
05/01/2021 21,30.22,88.19,9089
05/01/2021 22,71.9,88.23,9111
05/01/2021 23,132.25,88.35,8919
05/01/2021 24,143.62,88.48,8691
05/02/2021 01,100.81,88.56,8510
05/02/2021 02,63.98,88.59,8458
05/02/2021 03,53.31,88.6,8440
05/02/2021 04,44.13,88.6,8398
05/02/2021 05,46.02,88.61,8401
05/02/2021 06,48.88,88.63,8421
05/02/2021 07,53.05,88.64,8435
05/02/2021 08,47.14,88.65,8577
05/02/2021 09,47.14,88.66,8747
05/02/2021 10,36.97,88.64,8910
05/02/2021 11,44.04,88.62,9039
05/02/2021 12,45.29,88.33,9106
05/02/2021 13,44.46,88.23,9127
05/02/2021 14,36.44,88.15,9089
05/02/2021 15,46.67,88.13,9037
05/02/2021 16,61.23,88.14,8968
05/02/2021 17,60.67,88.17,9054
05/02/2021 18,157.21,88.33,9182
05/02/2021 19,201.29,88.55,9060
05/02/2021 20,115.59,88.64,9059
05/02/2021 21,89.2,88.7,9031
05/02/2021 22,58.7,88.71,9116
05/02/2021 23,66.38,88.75,8942
05/02/2021 24,93.72,88.82,8605
05/03/2021 01,64.12,88.86,8522
05/03/2021 02,63.84,88.89,8476
05/03/2021 03,75.36,88.94,8503
05/03/2021 04,73.9,88.99,8498
05/03/2021 05,65,89.02,8566
05/03/2021 06,63.03,89.04,8715
05/03/2021 07,95.44,89.1,8903
05/03/2021 08,335.04,89.49,9129
05/03/2021 09,396.24,89.93,9217
05/03/2021 10,415.16,90.38,9250
05/03/2021 11,422.12,90.78,9285
05/03/2021 12,422.12,91.2,9261
05/03/2021 13,561.65,91.87,9227
05/03/2021 14,362.33,92.31,9246
05/03/2021 15,247.8,92.6,9209
05/03/2021 16,222.38,92.86,9204
05/03/2021 17,112.1,92.96,9242
05/03/2021 18,64.85,92.99,9325
05/03/2021 19,62.24,93.02,9204
