,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
274,03/12/2020 12,90.8,37.44,10497.0
275,03/12/2020 13,103.98,37.54,10453.0
276,03/12/2020 14,44.04,37.56,10483.0
277,03/12/2020 15,47.19,37.58,10487.0
278,03/12/2020 16,39.54,37.59,10494.0
279,03/12/2020 17,72.44,37.65,10522.0
280,03/12/2020 18,70.12,37.7,10547.0
281,03/12/2020 19,38.71,37.71,10509.0
282,03/12/2020 20,36.61,37.71,10545.0
283,03/12/2020 21,36.53,37.72,10587.0
284,03/12/2020 22,35.51,37.72,10501.0
285,03/12/2020 23,37.86,37.73,10240.0
286,03/12/2020 24,34.62,37.75,9971.0
287,03/13/2020 01,34.35,37.76,9783.0
288,03/13/2020 02,34.31,37.78,9736.0
289,03/13/2020 03,34.23,37.79,9670.0
290,03/13/2020 04,34.29,37.8,9692.0
291,03/13/2020 05,35.03,37.8,9776.0
292,03/13/2020 06,34.44,37.8,9916.0
293,03/13/2020 07,35.4,37.8,10307.0
294,03/13/2020 08,36.6,37.8,10600.0
295,03/13/2020 09,36.52,37.81,10623.0
296,03/13/2020 10,36.55,37.81,10710.0
297,03/13/2020 11,37.73,37.81,10715.0
298,03/13/2020 12,38.53,37.77,10748.0
299,03/13/2020 13,36.54,37.74,10713.0
300,03/13/2020 14,36.18,37.72,10716.0
301,03/13/2020 15,36.18,37.72,10663.0
302,03/13/2020 16,36.22,37.72,10672.0
303,03/13/2020 17,41.64,37.73,10700.0
304,03/13/2020 18,40.32,37.74,10719.0
305,03/13/2020 19,37.68,37.74,10695.0
306,03/13/2020 20,37.79,37.74,10744.0
307,03/13/2020 21,37.93,37.75,10785.0
308,03/13/2020 22,38.49,37.75,10661.0
309,03/13/2020 23,37.99,37.75,10415.0
310,03/13/2020 24,42.35,37.77,10175.0
311,03/14/2020 01,39.86,37.78,10063.0
312,03/14/2020 02,36.74,37.79,9948.0
313,03/14/2020 03,36.17,37.8,9903.0
314,03/14/2020 04,36.15,37.81,9887.0
315,03/14/2020 05,36.22,37.82,9904.0
316,03/14/2020 06,36.14,37.83,9944.0
317,03/14/2020 07,36.06,37.84,10090.0
318,03/14/2020 08,35.51,37.85,10255.0
319,03/14/2020 09,36.12,37.85,10354.0
320,03/14/2020 10,36.17,37.85,10572.0
321,03/14/2020 11,36.35,37.86,10714.0
322,03/14/2020 12,37.45,37.86,10748.0
323,03/14/2020 13,37.72,37.87,10756.0
324,03/14/2020 14,37.75,37.88,10711.0
325,03/14/2020 15,37.69,37.89,10665.0
326,03/14/2020 16,37.62,37.9,10663.0
327,03/14/2020 17,37.77,37.91,10711.0
328,03/14/2020 18,43.19,37.93,10724.0
329,03/14/2020 19,49.77,37.95,10666.0
330,03/14/2020 20,70.67,38.0,10688.0
331,03/14/2020 21,85.31,38.08,10720.0
332,03/14/2020 22,71.04,38.13,10621.0
333,03/14/2020 23,48.76,38.15,10443.0
334,03/14/2020 24,46.6,38.17,10168.0
335,03/15/2020 01,51.47,38.2,9976.0
336,03/15/2020 02,49.62,38.23,9911.0
337,03/15/2020 03,49.62,38.26,9887.0
338,03/15/2020 04,49.62,38.29,9844.0
339,03/15/2020 05,49.4,38.32,9874.0
340,03/15/2020 06,47.29,38.35,9939.0
341,03/15/2020 07,40.9,38.36,10057.0
342,03/15/2020 08,57.09,38.4,10201.0
343,03/15/2020 09,40.65,38.41,10269.0
344,03/15/2020 10,82.96,38.48,10446.0
345,03/15/2020 11,91.36,38.56,10469.0
346,03/15/2020 12,91.32,38.64,10462.0
347,03/15/2020 13,92.51,38.72,10447.0
348,03/15/2020 14,86.37,38.79,10315.0
349,03/15/2020 15,81.12,38.86,10200.0
350,03/15/2020 16,68.76,38.91,10242.0
351,03/15/2020 17,79.4,38.97,10271.0
352,03/15/2020 18,71.46,39.02,10364.0
353,03/15/2020 19,73.42,39.08,10390.0
354,03/15/2020 20,83.71,39.14,10448.0
355,03/15/2020 21,84.5,39.21,10566.0
356,03/15/2020 22,37.21,39.22,10509.0
357,03/15/2020 23,37.22,39.22,10290.0
358,03/15/2020 24,40.51,39.23,9989.0
359,03/16/2020 01,41.73,39.24,9803.0
360,03/16/2020 02,40.3,39.26,9702.0
361,03/16/2020 03,39.34,39.27,9651.0
362,03/16/2020 04,38.64,39.28,9655.0
363,03/16/2020 05,39.49,39.29,9682.0
364,03/16/2020 06,45.0,39.31,9840.0
365,03/16/2020 07,48.81,39.33,10129.0
366,03/16/2020 08,38.14,39.33,10506.0
367,03/16/2020 09,60.22,39.37,10599.0
368,03/16/2020 10,55.66,39.4,10607.0
369,03/16/2020 11,80.93,39.46,10609.0
370,03/16/2020 12,80.72,39.52,10557.0
371,03/16/2020 13,80.52,39.59,10485.0
372,03/16/2020 14,52.12,39.62,10478.0
373,03/16/2020 15,51.88,39.64,10410.0
374,03/16/2020 16,50.27,39.67,10377.0
375,03/16/2020 17,68.02,39.73,10340.0
376,03/16/2020 18,70.4,39.78,10343.0
377,03/16/2020 19,50.92,39.81,10230.0
378,03/16/2020 20,49.78,39.83,10249.0
379,03/16/2020 21,50.56,39.85,10405.0
380,03/16/2020 22,35.19,39.86,10261.0
381,03/16/2020 23,32.31,39.86,9997.0
382,03/16/2020 24,31.2,39.86,9712.0
383,03/17/2020 01,31.33,39.86,9533.0
384,03/17/2020 02,28.49,39.85,9408.0
385,03/17/2020 03,31.31,39.85,9333.0
386,03/17/2020 04,31.33,39.85,9331.0
387,03/17/2020 05,31.43,39.84,9389.0
388,03/17/2020 06,32.36,39.84,9532.0
389,03/17/2020 07,33.92,39.84,9848.0
390,03/17/2020 08,36.54,39.84,10236.0
391,03/17/2020 09,35.34,39.84,10354.0
392,03/17/2020 10,38.45,39.85,10431.0
393,03/17/2020 11,34.92,39.85,10434.0
394,03/17/2020 12,34.0,39.85,10467.0
395,03/17/2020 13,34.67,39.85,10498.0
396,03/17/2020 14,35.94,39.85,10493.0
397,03/17/2020 15,34.78,39.85,10464.0
398,03/17/2020 16,34.58,39.85,10471.0
399,03/17/2020 17,34.0,39.85,10486.0
400,03/17/2020 18,36.16,39.85,10463.0
401,03/17/2020 19,40.48,39.85,10363.0
402,03/17/2020 20,47.17,39.84,10412.0
403,03/17/2020 21,62.05,39.85,10460.0
404,03/17/2020 22,47.42,39.87,10325.0
405,03/17/2020 23,38.32,39.87,10099.0
406,03/17/2020 24,38.37,39.87,9828.0
407,03/18/2020 01,37.6,39.88,9666.0
408,03/18/2020 02,37.44,39.88,9575.0
409,03/18/2020 03,37.44,39.89,9526.0
410,03/18/2020 04,37.08,39.89,9512.0
411,03/18/2020 05,37.56,39.9,9558.0
412,03/18/2020 06,37.56,39.91,9678.0
413,03/18/2020 07,41.17,39.93,10006.0
414,03/18/2020 08,38.03,39.94,10354.0
415,03/18/2020 09,40.95,39.95,10512.0
416,03/18/2020 10,41.57,39.96,10556.0
417,03/18/2020 11,49.07,39.98,10602.0
418,03/18/2020 12,36.94,39.98,10551.0
419,03/18/2020 13,37.88,39.99,10508.0
420,03/18/2020 14,38.08,39.99,10493.0
421,03/18/2020 15,215.9,40.25,10405.0
422,03/18/2020 16,88.69,40.32,10288.0
423,03/18/2020 17,107.96,40.42,10313.0
424,03/18/2020 18,48.78,40.42,10411.0
425,03/18/2020 19,143.23,40.49,10257.0
426,03/18/2020 20,141.81,40.56,10253.0
427,03/18/2020 21,86.96,40.58,10334.0
428,03/18/2020 22,245.61,40.84,10160.0
429,03/18/2020 23,51.0,40.86,9987.0
430,03/18/2020 24,55.02,40.88,9787.0
431,03/19/2020 01,34.12,40.88,9681.0
432,03/19/2020 02,34.41,40.89,9590.0
433,03/19/2020 03,34.58,40.89,9524.0
434,03/19/2020 04,36.84,40.89,9586.0
435,03/19/2020 05,37.74,40.89,9667.0
436,03/19/2020 06,39.44,40.9,9805.0
437,03/19/2020 07,73.84,40.95,10021.0
438,03/19/2020 08,56.07,40.96,10444.0
439,03/19/2020 09,84.94,40.78,10578.0
440,03/19/2020 10,67.5,40.63,10519.0
441,03/19/2020 11,42.19,40.46,10467.0
442,03/19/2020 12,742.5,40.77,10363.0
443,03/19/2020 13,742.11,40.87,10322.0
444,03/19/2020 14,645.0,41.7,10320.0
445,03/19/2020 15,43.53,41.69,10313.0
446,03/19/2020 16,36.4,41.69,10356.0
447,03/19/2020 17,35.01,41.67,10403.0
448,03/19/2020 18,32.91,41.58,10447.0
449,03/19/2020 19,32.91,41.49,10380.0
450,03/19/2020 20,32.88,41.45,10435.0
451,03/19/2020 21,32.91,41.43,10556.0
452,03/19/2020 22,32.88,41.41,10410.0
453,03/19/2020 23,32.51,41.41,10213.0
454,03/19/2020 24,32.88,41.41,9971.0
455,03/20/2020 01,28.96,41.39,9800.0
456,03/20/2020 02,30.86,41.38,9734.0
457,03/20/2020 03,30.25,41.38,9680.0
458,03/20/2020 04,28.91,41.37,9685.0
459,03/20/2020 05,28.91,41.36,9717.0
460,03/20/2020 06,28.91,41.35,9834.0
461,03/20/2020 07,29.44,41.35,10099.0
462,03/20/2020 08,32.88,41.34,10417.0
463,03/20/2020 09,32.9,41.33,10530.0
464,03/20/2020 10,32.91,41.33,10569.0
465,03/20/2020 11,71.83,41.37,10514.0
466,03/20/2020 12,94.88,41.42,10421.0
467,03/20/2020 13,90.55,41.47,10356.0
468,03/20/2020 14,49.1,41.46,10433.0
469,03/20/2020 15,50.55,41.47,10380.0
470,03/20/2020 16,44.3,41.47,10265.0
471,03/20/2020 17,32.91,41.46,10274.0
472,03/20/2020 18,32.91,41.46,10277.0
473,03/20/2020 19,32.91,41.46,10181.0
474,03/20/2020 20,32.89,41.46,10171.0
475,03/20/2020 21,50.0,41.48,10298.0
476,03/20/2020 22,45.16,41.49,10174.0
477,03/20/2020 23,32.91,41.5,9961.0
478,03/20/2020 24,32.91,41.5,9765.0
479,03/21/2020 01,34.84,41.51,9568.0
480,03/21/2020 02,33.29,41.51,9491.0
481,03/21/2020 03,35.77,41.52,9431.0
482,03/21/2020 04,32.91,41.52,9392.0
483,03/21/2020 05,34.85,41.53,9393.0
484,03/21/2020 06,37.91,41.54,9468.0
485,03/21/2020 07,39.13,41.55,9589.0
486,03/21/2020 08,32.89,41.55,9715.0
487,03/21/2020 09,29.2,41.54,9802.0
488,03/21/2020 10,32.91,41.54,9912.0
489,03/21/2020 11,32.91,41.53,9917.0
490,03/21/2020 12,39.0,41.54,9932.0
491,03/21/2020 13,45.34,41.55,9938.0
492,03/21/2020 14,46.06,41.57,9906.0
493,03/21/2020 15,38.79,41.58,9863.0
494,03/21/2020 16,37.67,41.58,9816.0
495,03/21/2020 17,39.06,41.59,9837.0
496,03/21/2020 18,40.44,41.6,9938.0
497,03/21/2020 19,42.01,41.61,9943.0
498,03/21/2020 20,32.91,41.61,9948.0
499,03/21/2020 21,37.84,41.61,10053.0
500,03/21/2020 22,35.78,41.61,9961.0
501,03/21/2020 23,37.89,41.62,9729.0
502,03/21/2020 24,38.29,41.63,9348.0
503,03/22/2020 01,32.91,41.63,9176.0
504,03/22/2020 02,32.91,41.64,9066.0
505,03/22/2020 03,32.9,41.65,9006.0
506,03/22/2020 04,32.88,41.66,9038.0
507,03/22/2020 05,32.88,41.66,9019.0
508,03/22/2020 06,32.88,41.67,9135.0
509,03/22/2020 07,32.88,41.68,9223.0
510,03/22/2020 08,32.9,41.68,9306.0
511,03/22/2020 09,32.91,41.68,9329.0
512,03/22/2020 10,32.91,41.68,9415.0
513,03/22/2020 11,32.89,41.68,9501.0
514,03/22/2020 12,32.88,41.68,9578.0
515,03/22/2020 13,32.91,41.67,9617.0
516,03/22/2020 14,32.91,41.67,9551.0
517,03/22/2020 15,32.88,41.67,9483.0
518,03/22/2020 16,32.9,41.67,9502.0
519,03/22/2020 17,33.53,41.67,9592.0
520,03/22/2020 18,46.41,41.7,9777.0
521,03/22/2020 19,50.54,41.72,9759.0
522,03/22/2020 20,33.91,41.72,9709.0
523,03/22/2020 21,37.22,41.72,9842.0
524,03/22/2020 22,32.22,41.73,9685.0
525,03/22/2020 23,28.69,41.72,9465.0
526,03/22/2020 24,27.76,41.72,9237.0
527,03/23/2020 01,28.01,41.72,9088.0
528,03/23/2020 02,28.55,41.73,9018.0
529,03/23/2020 03,28.91,41.73,9013.0
530,03/23/2020 04,28.91,41.73,9005.0
531,03/23/2020 05,28.91,41.73,9123.0
532,03/23/2020 06,30.49,41.73,9309.0
533,03/23/2020 07,32.87,41.73,9617.0
534,03/23/2020 08,32.87,41.73,9954.0
535,03/23/2020 09,32.88,41.73,10120.0
536,03/23/2020 10,36.91,41.74,10186.0
537,03/23/2020 11,34.84,41.75,10228.0
538,03/23/2020 12,40.5,41.76,10242.0
539,03/23/2020 13,32.89,41.76,10206.0
540,03/23/2020 14,33.29,41.77,10158.0
541,03/23/2020 15,32.88,41.77,10137.0
542,03/23/2020 16,32.88,41.78,10112.0
543,03/23/2020 17,32.86,41.78,10194.0
544,03/23/2020 18,32.86,41.78,10264.0
545,03/23/2020 19,30.36,41.75,10134.0
546,03/23/2020 20,29.53,41.7,10150.0
547,03/23/2020 21,28.91,41.67,10233.0
548,03/23/2020 22,31.1,41.66,10094.0
549,03/23/2020 23,30.78,41.66,9797.0
550,03/23/2020 24,31.41,41.65,9509.0
